"","sex","birth","marriage","religion","income","code_job","code_region"
"164",1,1936,1,2,NA,NA,1
"165",2,1940,1,2,NA,NA,1
"166",1,1957,1,2,309.6,773,1
"167",2,1960,1,2,NA,NA,1
"168",1,1983,5,2,191.3,761,1
"169",1,1950,1,2,238,873,1
"170",2,1953,1,2,158,951,1
"171",1,1962,1,2,240,510,1
"172",2,1963,1,1,85,922,1
"173",2,1989,5,1,172,285,1
"174",1,1959,1,2,NA,875,1
"175",2,1961,1,1,NA,NA,1
"176",1,1986,5,2,316.7,231,1
"177",2,1990,5,2,200,312,1
"178",1,1954,1,2,166,862,1
"179",2,1955,1,2,100.6,421,1
"180",2,1989,5,2,191.7,243,1
"181",1,1971,1,1,NA,NA,1
"182",2,1977,1,2,NA,NA,1
"183",2,2000,0,2,NA,NA,1
"184",1,2002,0,2,NA,NA,1
"185",1,2004,0,2,NA,NA,1
"186",2,1939,2,1,NA,NA,1
"187",1,1949,1,1,NA,NA,1
"188",2,1954,1,1,NA,521,1
"189",1,1978,1,1,345,311,2
"190",2,1982,1,1,NA,NA,2
"191",2,2014,0,1,NA,NA,2
"192",1,1942,1,1,NA,NA,1
"193",2,1949,1,1,NA,NA,1
"194",1,1995,5,2,NA,NA,1
"195",1,1998,0,2,NA,NA,1
"196",2,1980,1,2,NA,NA,1
"197",1,1975,1,2,634.2,223,1
"198",2,1974,1,2,400,252,1
"199",2,2006,0,2,NA,NA,1
"200",2,2008,0,2,NA,NA,1
"201",2,2011,0,2,NA,NA,1
"202",2,1957,3,1,106.5,421,1
"203",2,1943,2,1,57,941,1
"204",1,1973,5,1,268.8,521,1
"205",1,1960,1,1,397.5,761,1
"206",2,1966,1,1,625,510,1
"207",2,1991,5,1,180,254,1
"208",2,1992,1,1,NA,NA,1
"209",2,1943,2,2,NA,NA,1
"210",2,1924,2,2,NA,NA,1
"211",2,1971,1,1,109.7,259,1
"212",2,1998,0,1,NA,NA,1
"213",2,1999,0,1,NA,NA,1
"214",1,1968,1,2,220.3,771,1
"215",1,1958,1,1,276.3,721,1
"216",2,1958,1,1,123.2,930,1
"217",1,1986,1,2,167.5,135,1
"218",1,1984,5,1,231,245,1
"219",2,1984,1,2,NA,NA,1
"220",1,2013,0,2,NA,NA,1
"221",1,1966,1,1,428.7,862,1
"222",2,1968,1,1,60,399,1
"223",1,2000,0,1,NA,NA,1
"224",1,1974,1,2,247,773,1
"225",2,1973,1,2,131.8,930,1
"226",2,2003,0,2,NA,NA,1
"227",1,2004,0,2,NA,NA,1
"228",1,1959,1,1,NA,NA,1
"229",2,1959,1,1,NA,NA,1
"230",2,1984,5,1,NA,NA,1
"231",1,1986,5,1,220,312,1
"232",1,1960,1,2,NA,530,1
"233",2,1960,1,1,120,521,1
"234",1,1988,5,2,NA,NA,1
"235",1,1985,5,2,393.3,221,1
"236",2,1960,4,1,108,951,1
"237",1,1987,5,1,NA,NA,1
"238",2,1943,4,1,73,941,1
"239",2,1971,5,2,234,422,1
"240",1,1959,1,2,NA,873,1
"241",2,1965,1,2,NA,930,1
"242",1,1987,5,2,NA,NA,1
"243",2,1988,5,2,NA,NA,1
"244",1,1938,3,1,NA,941,1
"245",2,1939,2,1,NA,NA,1
"246",1,1964,5,1,205,751,1
"247",1,1969,1,2,251,312,1
"248",2,1977,1,2,140,314,1
"249",2,1939,2,1,NA,NA,1
"250",2,2006,0,2,NA,NA,1
"251",1,2010,0,2,NA,NA,1
"252",2,1971,1,2,275,312,2
"253",1,1966,1,1,145.8,251,2
"254",1,2011,0,2,NA,NA,2
"255",1,1965,5,2,NA,NA,1
"256",2,1958,3,1,190,521,1
"257",1,1987,5,1,150,399,1
"258",1,1938,2,2,NA,NA,1
"259",2,1942,2,1,NA,NA,1
"260",1,1925,1,2,NA,NA,1
"261",2,1936,1,2,NA,NA,1
"262",2,1953,2,1,NA,951,1
"263",1,1978,1,1,408,753,1
"264",1,1979,5,1,500,141,1
"265",2,1979,1,1,NA,NA,1
"266",1,2009,0,1,NA,NA,1
"267",1,2011,0,1,NA,NA,1
"268",2,1946,3,1,NA,NA,1
"269",1,1957,5,2,52.8,941,1
"270",2,1934,2,1,NA,NA,1
"271",1,1972,1,2,238.3,722,1
"272",2,1965,1,2,114.2,930,1
"273",1,1999,0,2,NA,NA,1
"274",2,1958,1,1,NA,422,1
"275",2,1983,1,2,0,320,2
"276",1,1984,1,2,266.7,761,2
"277",1,1955,1,1,NA,773,1
"278",1,1975,1,2,341.6,246,2
"279",2,1984,1,2,NA,NA,2
"280",1,2014,0,2,NA,NA,2
"281",2,2013,0,2,NA,NA,2
"282",1,1945,3,2,220.2,942,1
"283",2,1982,5,1,194.3,289,1
"284",2,1957,2,1,NA,951,1
"285",2,1979,1,2,130,320,1
"286",1,1975,1,2,416.6,231,1
"287",1,2012,0,2,NA,NA,1
"288",1,1932,1,1,NA,NA,1
"289",2,1940,1,1,NA,NA,1
"290",1,1959,1,1,NA,NA,1
"291",2,1964,1,1,192,952,1
"292",2,1989,5,1,583.3,254,1
"293",2,1990,5,1,260,243,1
"294",1,1952,3,1,NA,NA,1
"295",1,1952,1,1,NA,NA,1
"296",2,1950,1,1,NA,NA,1
"297",2,1980,5,1,NA,NA,1
"298",1,1972,1,1,420.6,281,1
"299",2,1976,1,1,NA,NA,1
"300",2,2003,0,1,NA,NA,1
"301",2,2005,0,1,NA,NA,1
"302",2,2007,0,1,NA,NA,1
"303",1,1959,1,1,313.3,741,1
"304",2,1962,1,1,126,952,1
"305",2,1986,5,1,233,243,1
"306",2,1989,5,1,166.7,289,1
"307",1,1967,1,2,NA,873,1
"308",2,1968,1,2,NA,422,1
"309",2,1995,5,2,NA,NA,1
"310",1,2000,0,2,NA,NA,1
"311",1,1973,1,1,416,312,1
"312",2,1976,1,1,140,313,1
"313",1,2006,0,1,NA,NA,1
"314",1,1973,1,2,358,312,1
"315",2,1973,1,2,110,313,1
"316",2,2000,0,2,NA,NA,1
"317",1,2002,0,2,NA,NA,1
"318",1,1964,1,2,400,261,1
"319",2,1962,1,1,50,247,1
"320",2,1991,5,1,NA,NA,1
"321",1,1947,1,1,NA,NA,1
"322",2,1958,1,1,NA,422,1
"323",1,1976,1,1,NA,941,1
"324",2,1981,1,1,120,254,1
"325",1,2008,0,1,NA,NA,1
"326",2,1951,2,1,NA,NA,1
"327",2,1933,2,1,NA,NA,1
"328",1,1976,1,2,325,245,2
"329",2,1977,1,2,NA,NA,2
"330",1,2004,0,2,NA,NA,2
"331",1,2007,0,2,NA,NA,2
"332",1,1933,1,1,NA,NA,1
"333",2,1936,1,1,NA,NA,1
"334",1,1958,1,1,162,873,1
"335",2,1962,1,1,NA,NA,1
"336",1,1988,5,1,209.9,245,1
"337",1,1977,1,2,324,441,7
"338",2,1977,1,2,162,246,7
"339",2,2007,0,2,NA,NA,7
"340",2,2009,0,2,NA,NA,7
"341",1,2011,0,2,NA,NA,7
"342",1,1935,2,2,NA,NA,1
"343",1,1985,1,2,185,312,5
"344",2,1982,1,2,320,864,5
"345",1,1979,1,2,NA,222,2
"346",2,1979,1,2,NA,NA,2
"347",1,2007,0,2,NA,NA,2
"348",2,2013,0,2,NA,NA,2
"349",2,1946,2,2,NA,NA,2
"350",1,1944,1,1,NA,873,1
"351",2,1952,1,1,NA,NA,1
"352",1,1944,1,1,NA,NA,2
"353",2,1952,1,1,NA,NA,2
"354",1,1963,1,2,426.7,312,1
"355",2,1968,1,2,303.9,243,1
"356",1,2000,0,2,NA,NA,1
"357",1,1946,1,2,139,942,1
"358",2,1948,1,1,NA,NA,1
"359",1,1932,1,2,NA,NA,1
"360",2,1936,1,2,NA,NA,1
"361",1,1935,1,1,NA,NA,1
"362",2,1942,1,1,NA,NA,1
"363",1,1977,1,1,429.7,510,2
"364",2,1979,1,1,NA,NA,2
"365",1,2006,0,1,NA,NA,2
"366",2,2008,0,1,NA,NA,2
"367",2,1930,2,2,NA,NA,1
"368",1,1960,5,2,NA,910,1
"369",2,1930,2,1,NA,NA,1
"370",1,1965,1,2,NA,762,1
"371",2,1970,1,2,NA,NA,1
"372",2,1995,5,2,NA,NA,1
"373",2,2001,0,2,NA,NA,1
"374",2,1940,2,2,NA,NA,1
"375",2,1943,2,1,20,999,1
"376",1,1938,1,1,NA,NA,1
"377",2,1946,1,2,NA,NA,1
"378",1,1954,1,2,NA,873,1
"379",2,1958,1,2,NA,521,1
"380",1,1984,5,2,NA,910,1
"381",2,1937,2,1,NA,930,1
"382",2,1962,2,1,NA,NA,1
"383",2,1941,2,1,85.42,930,1
"384",1,1968,5,1,85.42,952,1
"385",1,1965,1,1,NA,999,1
